pid,window_start_t,window_end_t,n_events,mean_dt,std_dt,max_dt,frac_success,any_page_execute,any_exec_ext,any_suspicious_dir,any_desired_access_execute,mean_offset,offset_monotonic,op_frac_CreateFile,op_frac_CreateFileMapping,op_frac_ReadFile,op_frac_WriteFile,op_frac_Thread Create,op_frac_Process Create,op_frac_LoadImage,op_frac_VirtualAlloc,op_frac_WriteProcessMemory,op_frac_CreateRemoteThread,op_frac_QueryBasicInformationFile,op_frac_QueryStandardInformationFile,op_frac_CloseFile,op_frac_FileSystemControl,op_frac_Other,label,anomaly_score,predicted_attack
4004,77234.1893479,77234.1895354,20,9.765000140760092e-06,3.286539420975423e-06,1.9099999917671084e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30607882827042493,0
4004,77234.1893948,77234.1896148,20,1.1399999493733048e-05,5.6364404864603536e-06,2.9799994081258777e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30598541893647085,0
4004,77234.1894363,77234.1896561,20,1.141500033554621e-05,5.635718720433347e-06,2.9799994081258777e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3023130214095503,0
4004,77234.1894976,77234.1897896,20,1.5040000289445742e-05,1.6770631121508838e-05,8.179999713320285e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3016791880459404,0
4004,77234.189543,77234.1898943,20,1.794499985408038e-05,1.7358735653505017e-05,8.179999713320285e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.2992888566315496,0
4004,77234.1896234,77234.1900547,20,2.1995000133756547e-05,2.3618980038115348e-05,9.139999747276306e-05,0.75,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.2998381951375561,0
4004,77234.1896688,77234.1901042,20,2.2404999617720024e-05,2.3388063153223116e-05,9.139999747276306e-05,0.8,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30349815391220164,0
4004,77234.1898004,77234.1901457,20,1.780500024324283e-05,1.9103938248683065e-05,9.139999747276306e-05,0.85,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.3048292123473432,0
4004,77234.1899133,77234.1901911,20,1.4840000221738592e-05,1.85713244753307e-05,9.139999747276306e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.31013585449134135,0
4004,77234.1900632,77234.19025,20,9.765000140760092e-06,3.3615886508467444e-06,2.169999061152339e-05,0.9,0,0,0,0,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.30607882827042493,0
